,index,title,date,hazard,hazard_type,recall_class,audience,distribution,brand,company,product
0,226,Happy Veggie World brand Vege Chicken Breast and Vegefarm brand Vege Stewed Lamb Chunk recalled due to undeclared egg,2021-10-15,Egg,Allergen,Class 2,Consumer,Nationally,Happy Veggie World,Global Vegetarian Foods Corp.,Vege chicken breast and vegefarm brand vege stewed lamb chunk
1,227,allSpices Food brand Sauce Ging-Hab recalled due to container integrity defects,2021-10-15,Container integrity defects,Microbiological,Class 3,Retail,"Ontario, Quebec",allSpices Food,allSpices Food,Sauce ging-hab
2,228,Canada Uncle Bill Seafood brand Dried Octopus recalled due to undeclared sulphites,2021-10-14,Sulphites,Allergen,Class 2,Retail,Ontario,Canada Uncle Bill Seafood,Canada Uncle Bill Group Inc.,Dried octopus
3,229,Jongilpoom brand Enoki Mushroom recalled due to Listeria monocytogenes,2021-10-14,Listeria monocytogenes,Microbiological,Class 1,Consumer,Nationally,Jongilpoom,Covic International Trading Inc.,Enoki mushroom
4,231,Deon Oyster Company Limited brand Atlantic Oysters recalled due to generic E. coli,2021-10-08,E. coli,Microbiological,Class 2,"Retail, Hotel/Restaurant/Institutional","New Brunswick, Nova Scotia",Deon Oyster Company Limited,Truth North Salmon Limited Partnership,Atlantic oysters
5,232,Olivera brand sliced olives may be unsafe due to potential presence of dangerous bacteria,2021-10-05,Dangerous bacteria,Microbiological,Class 1,Consumer,Quebec,Olivera,Distribution Alimentaire Tony,Sliced olives
6,235,Gosselin Smokehouses brand Honey Smoked Salmon recalled due to Listeria monocytogenes,2021-09-29,Listeria monocytogenes,Microbiological,Class 1,Warehouse,Quebec,Gosselin Smokehouses,Gosselin Smokehouses,Honey smoked salmon
7,234,Gosselin Smokehouses brand Maple Smoked Salmon recalled due to Listeria monocytogenes,2021-09-29,Listeria monocytogenes,Microbiological,Class 1,Consumer,Quebec,Gosselin Smokehouses,Gosselin Smokehouses,Maple smoked salmon
8,236,"Certain Happy Veggie World, Hearts Choices, and Vegefarm brand vegan and vegetarian products recalled due to undeclared egg",2021-09-28,Egg,Allergen,Class 2,Retail,Nationally,"Certain Happy Veggie World, Hearts Choices, and Vegefarm",Global Vegetarian Foods Corp.,Vegan and vegetarian products
9,237,European Butcher brand Smoked Pork Hock recalled due to Listeria monocytogenes,2021-09-24,Listeria monocytogenes,Microbiological,Class 1,Consumer,Ontario,European Butcher,European Butcher,Smoked pork hock
10,238,Unisoya brand Organic Tofu - Fine Herbs recalled due to Listeria monocytogenes,2021-09-24,Listeria monocytogenes,Food,Class 1,Retail,Nationally,Unisoya,,Organic tofu - fine herbs
11,239,Shredded pork rind and shredded pork skin sold to certain restaurants in the Greater Toronto Area may be unsafe due to Salmonella,2021-09-19,"Shredded pork rind , shredded pork skin sold to certain restaurants",Microbiological,--,Consumer,Ontario,,The Canadian Food Inspection Agency (CFIA) and the Ministry of Health (Ontario),To salmonella
12,240,Silver Maple brand Frozen All White Meat Fully Cooked Diced Chicken recalled due to Listeria monocytogenes,2021-09-17,Listeria monocytogenes,Microbiological,Class 2,Hotel/Restaurant/Institutional,"Alberta, British Columbia, Manitoba, Ontario, Quebec, Saskatchewan",Silver Maple,Erie Meat Products Ltd.,Frozen all white meat fully cooked diced chicken
13,242,Certain vegetarian fried prawn products recalled due to undeclared egg,2021-09-16,Egg,Allergen,Class 2,Retail,"Alberta, British Columbia, Ontario",,Global Vegetarian Foods Corp.,Vegetarian fried prawn products
14,243,President's Choice brand Sandwich Spreads and Dips recalled due to potential bursting bottles,2021-09-16,Bursting bottles,Food,,Retail,Nationally,President's Choice,,Sandwich spreads and dips
15,244,Dairyland brand 1% Partly Skimmed Milk recalled due to sanitizer residue,2021-09-15,Sanitizer residue,Chemical,Class 3,Retail,"Alberta, Manitoba, Saskatchewan",Dairyland,Saputo Dairy Products Canada G.P.,1% partly skimmed milk
16,245,Frozen All White Meat Fully Cooked Diced Chicken recalled due to Listeria monocytogenes,2021-09-10,Listeria monocytogenes,Microbiological,Class 2,Retail,Nationally,,Erie Meat Products Ltd.,To listeria monocytogenes
17,246,"European Butcher brand Bacon ""Chuncks"" and Smoked Side Bacon Slices recalled due to Listeria monocytogenes",2021-09-08,Listeria monocytogenes,Microbiological,Class 1,Consumer,Ontario,European Butcher,European Butcher,"Bacon ""chuncks"" and smoked side bacon slices"
18,247,Westview Bakery brand Crosta Bread (Multigrain) recalled due to undeclared sesame,2021-09-08,Sesame,Allergen,Class 3,Retail,British Columbia,Westview Bakery,Westview Bakery,Crosta bread (multigrain)
19,248,Eat Smart brand Chopped Salad Kits recalled due to Listeria monocytogenes,2021-09-07,Listeria monocytogenes,Microbiological,Class 1,Retail,Nationally,Eat Smart,Curation Foods,Chopped salad kits
20,249,"European Butcher brand Bacon ""Chuncks"" recalled due to Listeria monocytogenes",2021-09-06,Listeria monocytogenes,Microbiological,Class 1,Retail,Ontario,European Butcher,European Butcher,"Bacon ""chuncks"""
21,251,Soo brand Enoki Mushrooms recalled due to Listeria monocytogenes,2021-08-30,Listeria monocytogenes,Microbiological,Class 2,Consumer,Nationally,Soo,T-Brothers Food And Trading Ltd.,Enoki mushrooms
22,250,Veggie Foodle brand Whole Vegetable Noodles recalled due to Listeria monocytogenes,2021-08-30,Listeria monocytogenes,Microbiological,Class 1,Consumer,Nationally,Veggie Foodle,Freshline Foods Ltd.,Whole vegetable noodles
23,252,Curation Foods brand Kale Veg Blends and Eat Smart brand Chopped Salad Kits recalled due to Listeria monocytogenes,2021-08-26,Listeria monocytogenes,Microbiological,Class 1,Retail,Nationally,Curation Foods,Curation Foods,Kale veg blends and eat smart brand chopped salad kits
24,253,Eat Smart brand Asian Sesame (Sésame asiatique) Chopped Salad Kit recalled due to Listeria monocytogenes,2021-08-24,Listeria monocytogenes,Microbiological,Class 1,Retail,Nationally,Eat Smart,Curation Foods,Asian sesame (sésame asiatique) chopped salad kit
25,254,Mr. Porky brand Original Scratchings recalled due to Salmonella,2021-08-23,Salmonella,Microbiological,Class 2,Consumer,Nationally,Mr. Porky,Morgan Williams International Inc.,Original scratchings
26,255,Veggie Foodle brand Green Zucchini Whole Vegetable Noodles recalled due to Listeria monocytogenes,2021-08-20,Listeria monocytogenes,Microbiological,Class 1,Consumer,Nationally,Veggie Foodle,Freshline Foods Ltd.,Green zucchini whole vegetable noodles
27,256,Foothills Creamery brand ice cream recalled due to pieces of metal,2021-08-20,Metal,Extraneous Material,Class 3,Hotel/Restaurant/Institutional,Alberta,Foothills Creamery,Foothills Creamery Ltd.,Ice cream
28,257,Happy Veggie World brand Vege Fried Prawn recalled due to undeclared egg,2021-08-20,Egg,Allergen,Class 2,Retail,British Columbia,Happy Veggie World,Global Vegetarian Foods Corp.,Vege fried prawn
29,258,"Abo Anwar brand Namoura recalled due to undeclared sesame, cashews and wheat",2021-08-18,"Sesame, cashews , wheat",Allergen,Class 1,Consumer,Ontario,Abo Anwar,Abo Anwar Bakery Inc.,Namoura
30,259,Nomad Nutrition brand Kathmandu Curry recalled due to undeclared mustard and split pea,2021-08-18,"Mustard , split pea",Allergen,Class 1,Consumer,Nationally,Nomad Nutrition,Nomad Nutrition,Kathmandu curry
31,260,Ying Ying Soy Food brand Sweet & Spicy Tofu recalled due to Salmonella,2021-08-18,Salmonella,Microbiological,Class 1,Hotel/Restaurant/Institutional,"Nova Scotia, Ontario, Quebec, Newfoundland and Labrador",Ying Ying Soy Food,Ying Ying Soy Food Ltd.,Sweet & spicy tofu
32,261,Certain broccoli-containing deli products recalled due to Listeria monocytogenes,2021-08-13,Listeria monocytogenes,Microbiological,Class 1,Retail,Various - see table below,,"Hartland Valufoods, Sobeys Inc.",Broccoli-containing deli products
33,262,Viandes Intercité brand ground meat products recalled due to pieces of metal,2021-08-13,Metal,Extraneous Material,Class 2,Warehouse,"Nova Scotia, Quebec",Viandes Intercité,Montcalm Meats Inc.,Ground meat products
34,263,Randsland brand Broccoli Floret and Broccoli Salad Kit recalled due to Listeria monocytogenes,2021-08-13,Listeria monocytogenes,Microbiological,Class 1,Retail,"Nova Scotia, Newfoundland and Labrador",Randsland,Randsland Storage & Packing Ltd.,Broccoli floret and broccoli salad kit
35,264,Nomad Nutrition brand Caribbean Curry recalled due to undeclared mustard and split pea and Nomad Nutrition brand Kathmandu Curry recalled due to undeclared mustard,2021-08-10,Labelling,Allergen,Class 1,Consumer,Nationally,Nomad Nutrition,Nomad Nutrition,Caribbean curry recalled due to undeclared mustard and split pea and nomad nutrition brand kathmandu curry
36,265,Frontera brand Ground Beef Taco Skillet Sauce recalled due to undeclared mustard,2021-08-06,Mustard,Allergen,Class 1,Retail,Nationally,Frontera,Conagra Brands Canada Inc.,Ground beef taco skillet sauce
37,268,Repackaged Cahill's brand Original Irish Porter Cheese recalled due to Listeria monocytogenes,2021-08-04,Listeria monocytogenes,Food,Class 1,General public,Nationally,Repackaged Cahill's,,Original irish porter cheese
38,267,PS brand Homemade Apple Pie Cinnamon Spice BBQ Rub recalled due to undeclared milk,2021-08-04,Milk,Allergen,Class 3,Retail,Nationally,PS,Princess Auto Ltd,Homemade apple pie cinnamon spice bbq rub
39,266,Luigi Guffanti brand Cheese Taleggio Dop a Latte Crudo Incarto Verde recalled due to Staphylococcus aureus,2021-08-04,Staphylococcus aureus,Microbiological,Class 2,Retail,Ontario,Luigi Guffanti,Taste for Luxury,Cheese taleggio dop a latte crudo incarto verde
40,270,Your Fresh Market brand cookies recalled due to undeclared milk and almond,2021-08-03,"Milk , almond",Allergen,Class 3,Retail,Nationally,Your Fresh Market,Walmart Canada Corp.,Cookies
41,269,Cahill's brand Original Irish Porter Cheese recalled due to Listeria monocytogenes,2021-08-03,Listeria monocytogenes,Microbiological,Class 1,Retail,Nationally,Cahill's,Tree of Life Canada ULC,Original irish porter cheese
42,271,Harvest Fresh brand Zucchini Spirals and Teriyaki Vegetable Spiral Stir Fry Kit recalled due to Listeria monocytogenes,2021-08-01,Listeria monocytogenes,Microbiological,Class 1,Consumer,Ontario,Harvest Fresh,Veg Pak Produce,Zucchini spirals and teriyaki vegetable spiral stir fry kit
43,272,Various frozen mangoes recalled due to Hepatitis A,2021-07-30,Hepatitis A,Microbiological,Class 1,Consumer,Nationally,,Nature's Touch Frozen Food Inc.,To hepatitis a
44,273,Pinwheel brand Pineapple Gose Beer and Wellington Brewery brand Mix Pack - Vol. 10 recalled due to potential bursting cans,2021-07-30,Bursting cans,Microbiological,Class 3,Retail,Ontario,Pinwheel,Wellington Brewery,Pineapple gose beer and wellington brewery brand mix pack - vol. 10
45,275,Frank's RedHot brand Buffalo Ranch Seasoning recalled due to Salmonella,2021-07-27,Salmonella,Microbiological,Class 2,Retail,Nationally,Frank's RedHot,McCormick Canada,Buffalo ranch seasoning
46,276,Al-Rabih brand Halva / Halawa and Tahini recalled due to Salmonella,2021-07-27,Salmonella,Microbiological,Class 2,Consumer,Nationally,Al-Rabih,Phoenicia Group Inc.,Halva / halawa and tahini
47,277,Cahills brand Porter Irish Cheddar recalled due to Listeria monocytogenes,2021-07-27,Listeria monocytogenes,Microbiological,Class 1,Retail,Ontario,Cahills,Whole Foods Market,Porter irish cheddar
48,278,Harvest Fresh brand Zucchini Spirals recalled due to Listeria monocytogenes,2021-07-25,Listeria monocytogenes,Microbiological,Class 1,Consumer,Ontario,Harvest Fresh,Veg Pak Produce,Zucchini spirals
49,281,Gusta brand Vegan Grating Block Original recalled due to Listeria monocytogenes,2021-07-23,Listeria monocytogenes,Microbiological,Class 1,Warehouse,"Ontario, Quebec",Gusta,Gusta Foods Inc.,Vegan grating block original
50,282,PC brand Roquefort Blue Cheese recalled due to generic E. coli,2021-07-23,E. coli,Microbiological,Class 2,Retail,Nationally,PC,Loblaws Inc.,Roquefort blue cheese
51,283,HanSang brand Pork & Vegetable Gyoza recalled due to undeclared milk and coconut,2021-07-19,"Milk , coconut",Allergen,Class 1,Retail,"Alberta, British Columbia, Manitoba",HanSang,Seoul Trading Corp.,Pork & vegetable gyoza
52,284,Farm Boy brand Gluten Free Fresh Spinach & Ricotta Ravioli recalled due to undeclared gluten,2021-07-19,Gluten,Allergen,Class 3,Retail,Ontario,Farm Boy,Farm Boy Company Inc.,Gluten free fresh spinach & ricotta ravioli
53,285,La Bella Contadina brand Burrata Nadi con latte di bufala (cheese) recalled due to Listeria monocytogenes,2021-07-17,Listeria monocytogenes,Microbiological,Class 1,Retail,Quebec,La Bella Contadina,Fruiterie Milano Inc.,Burrata nadi con latte di bufala (cheese)
54,287,Galanlang brand Lanzhou Noodles (Cup) recalled due to undeclared sesame and soy,2021-07-16,"Sesame , soy",Allergen,Class 2,Retail,"Alberta, British Columbia",Galanlang,2032271 Alberta Ltd.,Lanzhou noodles (cup)
55,289,New World brand Organic Sesame Tahini recalled due to undeclared almond and cashew,2021-07-13,"Almond , cashew",Allergen,Class 3,Retail,"Alberta, British Columbia, Ontario, Quebec",New World,New World Natural Foods Inc.,Organic sesame tahini
56,290,UnjhaSpice brand Cumin Powder recalled due to Salmonella,2021-07-11,Salmonella,Microbiological,Class 2,Consumer,Ontario,UnjhaSpice,UnjhaSpice Inc.,Cumin powder
57,291,Halvana brand Hummus recalled due to undeclared sesame,2021-07-09,Sesame,Allergen,Class 2,Retail,Nationally,Halvana,Halvana North America Inc.,Hummus
58,292,Aberdeen and Black Tie brand ChaoZhou style fish balls recalled due to undeclared soy,2021-07-06,Soy,Allergen,Class 1,Consumer,Nationally,Aberdeen and Black Tie,TFI Foods Ltd,Chaozhou style fish balls
59,293,Dufflet brand Plant-based Cakes and Cupcakes recalled due to undeclared egg,2021-07-06,Egg,Allergen,Class 1,Consumer,Nationally,Dufflet,Dufflet Pastries,Plant-based cakes and cupcakes
60,294,Al-Rabih brand Halva / Halawa – with pistachios recalled due to Salmonella,2021-07-05,Salmonella,Microbiological,Class 2,Consumer,Nationally,Al-Rabih,Phoenicia Group Inc.,Halva / halawa – with pistachios
61,295,"El Rashidi El Mizan brand Pure Natural Honey recalled due to presence of Enrofloxacin, Ciprofloxacin, Sulfadiazine, Sulfamethoxazole and Sulfamethazine",2021-07-05,"Enrofloxacin, ciprofloxacin, sulfadiazine, sulfamethoxazole , sulfamethazine",Chemical,Class 2,Retail,"Ontario, Quebec",El Rashidi El Mizan,Noble Hope Import & Export,Pure natural honey
62,297,Dufflet brand Plant-Based Chocolate Cake recalled due to undeclared egg,2021-07-02,Egg,Allergen,Class 1,Consumer,Nationally,Dufflet,Dufflet Pastries,Plant-based chocolate cake
63,298,Gestus brand Makrel Filet I Tomatsauce recalled due to commercial sterility concerns,2021-07-02,Commercial sterility concerns,Microbiological,Class 2,Retail,British Columbia,Gestus,Cloverdale Sausage & Meat Ltd.,Makrel filet i tomatsauce
64,299,Little Saigon brand spring rolls recalled due to undeclared wheat,2021-06-29,Wheat,Allergen,Class 2,Consumer,British Columbia,Little Saigon,Little Saigon Kitchen Ltd.,Spring rolls
65,300,Dole brand Fresh Packed Blueberries recalled due to Cyclospora,2021-06-28,Cyclospora,Microbiological,Class 2,Retail,Alberta,Dole,Freestone Produce Inc.,Fresh packed blueberries
66,302,Al-Rabih brand Halva / Halawa – Plain / Traditional recalled due to Salmonella,2021-06-25,Salmonella,Microbiological,Class 2,Consumer,Nationally,Al-Rabih,Phoenicia Group Inc.,Halva / halawa – plain / traditional
67,303,Nestlé brand Drumstick Vanilla Chocolate Swirl Non-Dairy Frozen Dessert Cones recalled due to undeclared milk,2021-06-24,Milk,Allergen,Class 1,Consumer,Nationally,Nestlé,Nestle Canada Inc.,Drumstick vanilla chocolate swirl non-dairy frozen dessert cones
