,link,title,recall_info,date
0,https://recalls-rappels.canada.ca/en/alert-recall/mrakovic-fine-foods-brand-natural-chicken-burger-recalled-due-undeclared-egg,Mrakovic Fine Foods brand Natural Chicken Burger recalled due to undeclared egg,Mrakovic Fine Foods brand Natural Chicken Burger recalled due to undeclared egg. The recalled product has been sold in Ontario.,2022-08-24
1,https://recalls-rappels.canada.ca/en/alert-recall/life120-brand-ricotta-di-bufala-campana-dop-recalled-due-generic-e-coli,"Life120 brand ""Ricotta Di Bufala Campana Dop"" recalled due to generic E. coli","Life120 brand ""Ricotta Di Bufala Campana Dop"" recalled due to generic E. coli. The recalled product has been sold in Quebec.",2022-08-24
2,https://recalls-rappels.canada.ca/en/alert-recall/food-recall-warning-allergen-mastro-san-daniele-brand-charcuterie-trio-prosciutto,"Food Recall Warning (Allergen) – Mastro San Daniele brand Charcuterie Trio – Prosciutto Cotto, Capocollo, Mortadella recalled due to undeclared milk","The affected product is being recalled from the marketplace because it contains milk which is not declared on the label.  The recalled product has been sold in British Columbia, Alberta, Ontario, New Brunswick, Nova Scotia, and may have been…",2022-08-19
3,https://recalls-rappels.canada.ca/en/alert-recall/food-recall-warning-allergen-cache-cuisine-brand-pro-licious-protein-pancake-waffle,Food Recall Warning (Allergen) – Cache Cuisine brand Pro-licious Protein Pancake & Waffle Mix recalled due to improperly undeclared milk,The affected product is being recalled from the marketplace because it contains milk which is improperly declared on the label.  The recalled product has been sold nationally.,2022-08-19
4,https://recalls-rappels.canada.ca/en/alert-recall/delizia-brand-vegetarian-ham-recalled-due-undeclared-gluten-and-wheat-0,Delizia brand Vegetarian Ham recalled due to undeclared gluten and wheat,"Delizia brand Vegetarian Ham recalled due to undeclared gluten and wheat. The recalled product has been sold in Alberta, British Columbia, Manitoba and Ontario.",2022-08-19
5,https://recalls-rappels.canada.ca/en/alert-recall/mother-dairy-brand-paneer-fresh-cheese-recalled-due-generic-e-coli-0,Mother Dairy brand Paneer Fresh Cheese recalled due to generic E. coli,Mother Dairy brand Paneer Fresh Cheese recalled due to generic E. coli. The recalled product was sold in Alberta.,2022-08-16
6,https://recalls-rappels.canada.ca/en/alert-recall/best-buy-brand-chicken-tournedos-bacon-recalled-due-pieces-bone,Best Buy brand Chicken Tournedos with Bacon recalled due to pieces of bone,"Best Buy brand Chicken Tournedos with Bacon recalled due to pieces of bone. The recalled product has been sold in Ontario, Quebec, New Brunswick and Newfoundland and Labrador.",2022-08-15
7,https://recalls-rappels.canada.ca/en/alert-recall/supherb-farms-brand-iqf-dill-recalled-due-listeria-monocytogenes,Supherb Farms brand IQF Dill recalled due to Listeria monocytogenes,Supherb Farms brand IQF Dill recalled due to Listeria monocytogenes. The recalled product has been sold in Ontario.,2022-08-12
8,https://recalls-rappels.canada.ca/en/alert-recall/crescent-brand-pastrami-and-turkey-breast-tuscan-flavoured-recalled-due-listeria,Crescent brand Pastrami and Turkey Breast - Tuscan Flavoured recalled due to Listeria monocytogenes,The affected products are being recalled from the marketplace due to possible Listeria monocytogenes contamination. The recalled products have been sold in Ontario.,2022-08-11
9,https://recalls-rappels.canada.ca/en/alert-recall/taste-ukraine-brand-chicken-pelmeni-recalled-due-undeclared-milk,Taste of Ukraine brand Chicken Pelmeni recalled due to undeclared milk,Taste of Ukraine brand Chicken Pelmeni recalled due to undeclared milk. The recalled products have been sold in British Columbia.,2022-08-10
10,https://recalls-rappels.canada.ca/en/alert-recall/sher-love-brand-fruit-and-veggie-squares-recalled-due-improperly-declared-milk,Sher the Love brand Fruit and Veggie Squares recalled due to improperly declared milk,Sher the Love brand Fruit and Veggie Squares recalled due to improperly declared milk. The recalled products have been sold in Ontario.,2022-08-10
