,link,title,recall_info,date,company,issue,audiences,category,audience_2,recall_class
0,https://recalls-rappels.canada.ca/en/alert-recall/mrakovic-fine-foods-brand-natural-chicken-burger-recalled-due-undeclared-egg,Mrakovic Fine Foods brand Natural Chicken Burger recalled due to undeclared egg,Mrakovic Fine Foods brand Natural Chicken Burger recalled due to undeclared egg. The recalled product has been sold in Ontario.,2022-08-24,Mrakovic Fine Foods,Food - Allergen - Egg,Retail,Food - Meat and poultry - Frozen,Retail,Class 2
1,https://recalls-rappels.canada.ca/en/alert-recall/life120-brand-ricotta-di-bufala-campana-dop-recalled-due-generic-e-coli,"Life120 brand ""Ricotta Di Bufala Campana Dop"" recalled due to generic E. coli","Life120 brand ""Ricotta Di Bufala Campana Dop"" recalled due to generic E. coli. The recalled product has been sold in Quebec.",2022-08-24,Life120,Food - Microbial Contamination - E. Coli - non-pathogenic,Retail,Food - Dairy,Retail,Class 2
2,https://recalls-rappels.canada.ca/en/alert-recall/food-recall-warning-allergen-mastro-san-daniele-brand-charcuterie-trio-prosciutto,"Food Recall Warning (Allergen) – Mastro San Daniele brand Charcuterie Trio – Prosciutto Cotto, Capocollo, Mortadella recalled due to undeclared milk","The affected product is being recalled from the marketplace because it contains milk which is not declared on the label.  The recalled product has been sold in British Columbia, Alberta, Ontario, New Brunswick, Nova Scotia, and may have been…",2022-08-19,Mastro San Daniele,Food - Allergen - Milk,Food - Meat and poultry - Processed,General public,Class 1,
3,https://recalls-rappels.canada.ca/en/alert-recall/food-recall-warning-allergen-cache-cuisine-brand-pro-licious-protein-pancake-waffle,Food Recall Warning (Allergen) – Cache Cuisine brand Pro-licious Protein Pancake & Waffle Mix recalled due to improperly undeclared milk,The affected product is being recalled from the marketplace because it contains milk which is improperly declared on the label.  The recalled product has been sold nationally.,2022-08-19,Cache Cuisine,Food - Allergen - Milk,Food - Grain products,General public,Class 2,
4,https://recalls-rappels.canada.ca/en/alert-recall/delizia-brand-vegetarian-ham-recalled-due-undeclared-gluten-and-wheat-0,Delizia brand Vegetarian Ham recalled due to undeclared gluten and wheat,"Delizia brand Vegetarian Ham recalled due to undeclared gluten and wheat. The recalled product has been sold in Alberta, British Columbia, Manitoba and Ontario.",2022-08-19,Delizia,Food - Allergen - Gluten,Retail,Delizia brand Vegetarian Ham recalled due to undeclared gluten and wheat,Food - Other,Retail
8,https://recalls-rappels.canada.ca/en/alert-recall/mother-dairy-brand-paneer-fresh-cheese-recalled-due-generic-e-coli-0,Mother Dairy brand Paneer Fresh Cheese recalled due to generic E. coli,Mother Dairy brand Paneer Fresh Cheese recalled due to generic E. coli. The recalled product was sold in Alberta.,2022-08-16,Mother Dairy,Food - Microbial Contamination - E. Coli - non-pathogenic,Retail,Mother Dairy brand Paneer Fresh Cheese recalled due to generic E. coli,Food - Dairy,Retail
12,https://recalls-rappels.canada.ca/en/alert-recall/best-buy-brand-chicken-tournedos-bacon-recalled-due-pieces-bone,Best Buy brand Chicken Tournedos with Bacon recalled due to pieces of bone,"Best Buy brand Chicken Tournedos with Bacon recalled due to pieces of bone. The recalled product has been sold in Ontario, Quebec, New Brunswick and Newfoundland and Labrador.",2022-08-15,Best Buy,Food - Extraneous Material,Retail,Food - Meat and poultry - Frozen,Retail,Class 2
13,https://recalls-rappels.canada.ca/en/alert-recall/supherb-farms-brand-iqf-dill-recalled-due-listeria-monocytogenes,Supherb Farms brand IQF Dill recalled due to Listeria monocytogenes,Supherb Farms brand IQF Dill recalled due to Listeria monocytogenes. The recalled product has been sold in Ontario.,2022-08-12,Supherb Farms,Food - Microbial Contamination - Listeria,Manufacturers,Food - Herbs and spices,Manufacturers,Class 1
14,https://recalls-rappels.canada.ca/en/alert-recall/crescent-brand-pastrami-and-turkey-breast-tuscan-flavoured-recalled-due-listeria,Crescent brand Pastrami and Turkey Breast - Tuscan Flavoured recalled due to Listeria monocytogenes,The affected products are being recalled from the marketplace due to possible Listeria monocytogenes contamination. The recalled products have been sold in Ontario.,2022-08-11,Crescent,Food - Microbial Contamination - Listeria,Food - Meat and poultry - Processed,General public,Class 1,
15,https://recalls-rappels.canada.ca/en/alert-recall/taste-ukraine-brand-chicken-pelmeni-recalled-due-undeclared-milk,Taste of Ukraine brand Chicken Pelmeni recalled due to undeclared milk,Taste of Ukraine brand Chicken Pelmeni recalled due to undeclared milk. The recalled products have been sold in British Columbia.,2022-08-10,Taste of Ukraine,Food - Allergen - Milk,Retail,Food - Multiple food items,Retail,Class 2
16,https://recalls-rappels.canada.ca/en/alert-recall/sher-love-brand-fruit-and-veggie-squares-recalled-due-improperly-declared-milk,Sher the Love brand Fruit and Veggie Squares recalled due to improperly declared milk,Sher the Love brand Fruit and Veggie Squares recalled due to improperly declared milk. The recalled products have been sold in Ontario.,2022-08-10,Sher the Love,Food - Allergen - Milk,Retail,Food - Grain products,Retail,Class 2
17,https://recalls-rappels.canada.ca/en/alert-recall/circle-k-brand-classic-potato-chips-recalled-due-undeclared-milk,Circle K brand Classic Potato Chips recalled due to undeclared milk,Circle K brand Classic Potato Chips recalled due to undeclared milk. The recalled product has been sold in Ontario.,2022-08-09,Circle K,Food - Allergen - Milk,Retail,"Food - Candy, confectionary, snacks and sweeteners",Retail,Class 3
18,https://recalls-rappels.canada.ca/en/alert-recall/amy-s-brand-vietnamese-banh-mi-wrap-recalled-due-incomplete-labelling-mustard,Amy's brand Vietnamese Banh Mi Wrap recalled due to incomplete labelling for mustard,"Amy's brand Vietnamese Banh Mi Wrap recalled due to incomplete labelling for mustard.
The recalled product was sold nationally.",2022-08-05,Amy's,Food - Allergen - Mustard,Retail,Food - Multiple food items,Retail,Class 2
19,https://recalls-rappels.canada.ca/en/alert-recall/sober-island-brand-og-oysters-recalled-due-generic-e-coli,Sober Island brand OG Oysters recalled due to generic E. coli,"Sober Island brand OG Oysters recalled due to generic E. coli.
The recalled product was sold in Nova Scotia.",2022-08-04,Sober Island,Food - Microbial Contamination - E. Coli - other pathogenic,"Hotels, restaurants and institutions",Food - Fish and seafood,"Hotels, restaurants and institutions",Class 2
20,https://recalls-rappels.canada.ca/en/alert-recall/adonis-brand-all-dressed-mini-pizzas-and-hot-dog-rolls-recalled-due-undeclared-pea,Adonis brand All Dressed Mini Pizzas and Hot Dog Rolls recalled due to undeclared pea protein,Adonis brand All Dressed Mini Pizzas and Hot Dog Rolls recalled due to undeclared pea protein. The recalled products have been sold in Ontario and Quebec.,2022-08-04,Adonis,Food - Allergen - Other,Retail,Food - Multiple food items,Retail,Class 3
21,https://recalls-rappels.canada.ca/en/alert-recall/vicentina-fine-foods-gourmet-brand-lasagna-products-recalled-due-undeclared-egg,Vicentina Fine Foods Gourmet brand lasagna products recalled due to undeclared egg,Vicentina Fine Foods Gourmet brand lasagna products recalled due to undeclared egg. The recalled products were sold in Ontario.,2022-07-29,Vicentina Fine Foods Gourmet,Food - Allergen - Egg,Retail,Food - Multiple food items,Retail,Class 2
22,https://recalls-rappels.canada.ca/en/alert-recall/certain-groove-chocolate-brand-and-daniel-chocolates-brand-dark-chocolate-bars,Certain Groove Chocolate brand and Daniel Chocolates brand dark chocolate bars recalled due to undeclared milk,"The affected products are being recalled from the marketplace because they may contain milk which is not declared on the label.  The recalled products have been sold in Alberta, British Columbia, Manitoba, and Ontario, and may have been distributed…",2022-07-28,Groove Chocolate,Food - Allergen - Milk,"Food - Candy, confectionary, snacks and sweeteners",General public,Class 1,
23,https://recalls-rappels.canada.ca/en/alert-recall/sask-prairie-brand-dill-pickle-flavoured-vodka-recalled-due-pieces-glass,Sask Prairie brand Dill Pickle Flavoured Vodka recalled due to pieces of glass,Sask Prairie brand Dill Pickle Flavoured Vodka recalled due to pieces of glass. The recalled product was sold in Ontario.,2022-07-28,Sask Prairie,Food - Extraneous Material,Retail,Food - Beverages - Alcoholic,Retail,Class 3
24,https://recalls-rappels.canada.ca/en/alert-recall/vicentina-fine-foods-gourmet-brand-meat-lasagna-recalled-due-undeclared-cashew,Vicentina Fine Foods Gourmet brand Meat Lasagna recalled due to undeclared cashew,The affected product is being recalled from the marketplace because it may contain cashew which is not declared on the label. The recalled product has been sold in Ontario.,2022-07-27,Vicentina Fine Foods Gourmet,Food - Allergen - Tree nut,Food - Multiple food items,General public,Class 2,
